nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Chodsky o pastor bohemio,Europa República Checa,Grupo I,Musculoso Alargado,Mediano,45-55,10-25,12-14,Alta,Equilibrado Muy fiel Inteligente Activo Dócil,Niños Casas Pastor Vigilancia,,Temperado,Largo Liso Grueso,
Border collie,Europa Oceania Irlanda Nueva Zelanda Reino Unido,Grupo I,Alargado,Mediano,45-55,10-25,15-20,Alta,Equilibrado Muy fiel Inteligente Activo,Niños Casas Senderismo Pastor Vigilancia,,Frío,Corto Largo,Bajo
Pastor belga tervueren,Europa Bélgica,Grupo I,Fino Musculoso Proporcionado,Grande,55-70,25-45,10-12,Alta,Sociable Muy fiel Inteligente Activo Cariñoso,Pisos Senderismo Pastor Vigilancia Deporte,,Temperado,Largo Liso,Alto
Bobtail o viejo pastor inglés,Europa Reino Unido,Grupo I,Rústico Musculoso Orejas largas,Grande,55-70,45-100,10-12,Alta,Sociable Muy fiel Inteligente Activo Cariñoso,Niños Casas Senderismo Pastor,Arnés,Frío,Largo Duro Seco,
Lancashire heeler,Europa Reino Unido,Grupo I,Rústico Musculoso Alargado Patas cortas,Pequeño,15-35,3-10,12-14,Alta,Fuerte Inteligente Activo Cariñoso,Casas Senderismo Pastor Vigilancia,Arnés,Temperado,Corto Liso Duro Grueso,
Pastor australiano de cola corta,Oceania Australia,Grupo I,Rústico Musculoso Proporcionado Orejas cortas,Mediano,45-55,10-25,12-14,Alta,Fuerte Sociable Inteligente Activo Cariñoso,Casas Senderismo Pastor Vigilancia Deporte,Arnés,Temperado,Corto Liso Duro Grueso,
Pastor ovejero australiano,Europa España,Grupo I,Musculoso Proporcionado Alargado,Grande,55-70,25-45,12-14,Alta,Equilibrado Inteligente Activo Dócil,Casas Senderismo Pastor Deporte,,Temperado,Largo Liso Fino Graso,
Schapendoes neerlandés,"Europa Países Bajos, Holanda",Grupo I,,Mediano,45-55,10-25,12-14,Alta,Muy fiel Inteligente Activo,Pastor Deporte,,,Largo Fino Seco,
Mudi,Europa Hungría,Grupo I,Fino Musculoso Proporcionado Orejas cortas,Mediano,35-45,10-25,12-14,Alta,Equilibrado Sociable Inteligente Activo,Pastor Deporte,,Temperado,Corto Medio Rizado,
Pumi,Europa Hungría,Grupo I,Rústico,Mediano,35-45,10-25,12-14,Alta,Tímido Inteligente Activo,Pastor Vigilancia,,,Medio Rizado,
Pastor americano miniatura o pastor australiano miniatura,América Estados Unidos,Grupo I,Musculoso Alargado Orejas cortas,Pequeño,15-35,3-10,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Senderismo Pastor Vigilancia Deporte,,Temperado,Medio Liso Grueso,
Collie de pelo corto o collie smooth,Europa Reino Unido,Grupo I,Fino Musculoso,Grande,55-70,25-45,12-14,Alta,Equilibrado Inteligente Activo Cariñoso,Niños Pisos Casas Pastor Deporte,Bozal Arnés,Temperado,Corto Liso,
Pastor belga laekenois,Europa Bélgica,Grupo I,Fino Musculoso Proporcionado Orejas cortas,Mediano,35-45,25-45,12-14,Alta,Equilibrado Muy fiel Inteligente Activo,Pisos Casas Senderismo Vigilancia Deporte,Arnés,Frío,Medio Rizado Duro Grueso Seco,
Collie barbudo o bearded collie,Europa Polonia Reino Unido,Grupo I,Rústico Alargado Orejas largas,Mediano,45-55,10-25,15-20,Alta,Equilibrado Sociable Inteligente Activo Tranquilo Dócil,Casas Senderismo Pastor Deporte,,Frío,Largo Liso Duro,
Welsh corgi Pembroke,Europa Reino Unido,Grupo I,Musculoso Alargado Patas cortas,Pequeño,15-35,10-25,12-14,Media,Muy fiel Inteligente Activo,Pisos Casas Vigilancia,,Temperado,Medio Liso,
Perro pastor croata,Europa Croacia,Grupo I,Rústico,Mediano,45-55,10-25,12-14,Alta,Equilibrado Muy fiel Inteligente Activo,Casas Senderismo Pastor,,Temperado,Medio Rizado Fino,
Pastor del sur de Rusia,Europa Rusia,Grupo I,Rústico Musculoso Orejas cortas,Grande,Más de 80,45-100,8-10,Media,Fuerte Activo Cariñoso Dominante,Casas Senderismo Pastor Vigilancia,,Frío,Largo Grueso,
Pastor de Brie,Europa Francia,Grupo I,Rústico Musculoso,Grande,55-70,25-45,,Alta,Muy fiel Inteligente,Casas,,,Largo,
Perro pastor de Shetland,Europa Reino Unido,Grupo I,Fino Proporcionado Orejas cortas,Pequeño,35-45,3-10,12-14,Media,Tímido Fuerte Muy fiel Inteligente Activo Cariñoso,Pisos Casas Pastor,Arnés,Temperado,Largo Liso Grueso,
Komondor,Europa Hungría,Grupo I,Rústico Musculoso Proporcionado,Gigante,70-80,45-100,12-14,Alta,Fuerte Muy fiel Activo Cariñoso Dominante,Casas Senderismo Pastor Vigilancia,,Frío,Largo Rizado Duro Grueso,
Cuvac eslovaco,Europa Eslovaquia,Grupo I,Musculoso Proporcionado Orejas largas,Grande,55-70,25-45,12-14,Media,Equilibrado Muy fiel Inteligente Cariñoso Tranquilo Dócil,Casas Pastor Vigilancia,,Frío,Largo Grueso,
Pastor leonés,Europa España,Grupo I,Proporcionado,Mediano,45-55,10-25,10-12,Alta,Muy fiel Inteligente Activo Sumiso,Pastor,,Frío,Corto Medio,
Calupoh o perro lobo mexicano,América México,Grupo I,Musculoso Proporcionado Orejas cortas,Grande,55-70,25-45,15-20,Media,Tímido Muy fiel Activo Dócil,Niños Pastor,Arnés,Frío,Medio Grueso,
Pastor belga malinois,Europa Bélgica,Grupo I,Rústico Musculoso Proporcionado,Grande,55-70,25-45,12-14,Alta,Equilibrado Muy fiel Inteligente Activo,Casas Senderismo Pastor Vigilancia Personas con discapacidad Deporte,,Temperado,Medio Liso Fino Graso,
Pastor de los Cárpatos,Europa Rumanía,Grupo I,Rústico Musculoso,Grande,55-70,25-45,12-14,Alta,Equilibrado Sociable Muy fiel Activo Cariñoso Dócil,Casas Pastor Vigilancia,,Frío,Medio Liso Duro,
American bully,América Estados Unidos,Grupo I,Rústico Musculoso Patas cortas Orejas cortas,Mediano,45-55,25-45,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso,Niños Casas Senderismo Vigilancia,Bozal Arnés,Temperado,,
Kelpie australiano,Oceania Australia,Grupo I,Musculoso Proporcionado Orejas largas,Mediano,45-55,10-25,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Senderismo Pastor Terapia Deporte,,Caluroso,Largo Liso Seco,
Berger de Picardie,Europa Francia,Grupo I,Rústico Musculoso Alargado Orejas largas,Mediano,55-70,25-45,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso,Niños Pisos Casas Senderismo Pastor Vigilancia Deporte,Arnés,Frío,Medio Liso Duro Grueso Seco,
Kuvasz,Europa Hungría,Grupo I,Musculoso Proporcionado,Grande,70-80,45-100,10-12,Alta,Equilibrado Tímido Muy fiel Activo Cariñoso,Casas Senderismo Pastor Deporte,Arnés,Frío,Medio Liso Grueso,
Pastor holandés,"Europa Países Bajos, Holanda",Grupo I,Rústico Musculoso Alargado,Mediano,55-70,25-45,12-14,Alta,Equilibrado Fuerte Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Casas Senderismo Pastor Vigilancia Personas mayores Deporte,Arnés,Temperado,Corto Medio Largo Duro Grueso,
Perro lobo checoslovaco,Europa Eslovaquia,Grupo I,Rústico Musculoso Proporcionado Orejas cortas,Grande,55-70,10-25,,Alta,Muy fiel Activo Cariñoso,Pisos Casas Pastor Deporte,Bozal Arnés,Frío,Medio Liso Grueso,
Gos d'atura català o pastor catalán,Europa España,Grupo I,Rústico Musculoso Proporcionado,Mediano,45-55,25-45,12-14,Alta,Equilibrado Tímido Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Casas Senderismo Pastor Vigilancia Deporte,Arnés,Temperado,Largo Liso Duro Grueso,
Collie de pelo largo,Europa Reino Unido,Grupo I,Fino Musculoso Orejas cortas,Grande,55-70,25-45,12-14,Alta,Sociable Inteligente Activo Cariñoso Dócil,Pisos Casas Pastor,Bozal Arnés,Temperado,Largo Liso Grueso,
Welsh corgi Cardigan,Europa Reino Unido,Grupo I,Rústico Musculoso Alargado Patas cortas,Pequeño,15-35,10-25,12-14,Media,Muy fiel Inteligente Activo,Pisos Casas Pastor Vigilancia,,,Medio Liso Duro,
Perro lobo de Saarloos,"Europa Países Bajos, Holanda",Grupo I,Musculoso Alargado Orejas cortas,Grande,55-70,25-45,12-14,Alta,Tímido Inteligente Activo Dominante,Casas Senderismo,Bozal Arnés,Temperado,Medio Liso Grueso,
Perro pastor de los Pirineos de pelo largo,Europa Francia,Grupo I,Fino Orejas cortas,Mediano,45-55,10-25,10-12,Alta,Sociable Muy fiel Inteligente Activo Cariñoso,Pisos Senderismo Pastor Deporte,,Temperado,Largo Liso Grueso,
Pastor bergamasco,Europa Italia,Grupo I,Rústico Proporcionado,Mediano,55-70,25-45,12-14,Alta,Equilibrado Inteligente Tranquilo,Niños Pisos Senderismo Pastor Vigilancia Deporte,,,Largo Rizado Grueso,
Perro pastor de los Pirineos de cara rasa,Europa Francia,Grupo I,Fino Proporcionado,Mediano,45-55,10-25,12-14,Media,Muy fiel Inteligente Activo,Pastor Deporte,,,Largo Fino,
Schipperke,Europa Bélgica,Grupo I,Fino Proporcionado,Pequeño,15-35,3-10,12-14,Media,Sociable Activo,Casas Vigilancia,,Temperado,Medio Liso Duro,
Perro pastor polaco de las llanuras,Europa Polonia,Grupo I,Musculoso,Mediano,45-55,10-25,12-14,Alta,Equilibrado Inteligente Activo,Pisos Casas Vigilancia,,Temperado,Largo Grueso,
Boyero de Flandes,Europa Bélgica Francia,Grupo I,Rústico Musculoso Proporcionado,Grande,55-70,25-45,10-12,Alta,Equilibrado Inteligente Activo,Pisos Senderismo Pastor Vigilancia,Arnés,Temperado,Medio Duro Seco,
Perro pastor blanco suizo,Europa Suiza,Grupo I,Musculoso Proporcionado,Grande,55-70,25-45,10-12,,Tímido Muy fiel Inteligente Activo,Pisos Casas Senderismo Pastor Deporte,Arnés,Temperado,Medio Liso Grueso,
Pastor ganadero australiano o boyero australiano,Oceania Australia,Grupo I,Rústico Musculoso Patas cortas,Mediano,45-55,10-25,12-14,Alta,Tímido Muy fiel Activo Dominante,Casas Senderismo Pastor Deporte,Arnés,Caluroso,Corto Liso Duro Grueso,
Beauceron o pastor de Beauce,Europa Francia,Grupo I,Rústico Musculoso Alargado,Grande,55-70,45-100,10-12,Alta,Equilibrado Tímido Muy fiel Inteligente Activo,Casas Senderismo Pastor Deporte,Arnés,Frío,Medio Liso Grueso,
Pastor belga groenendael,Europa Bélgica,Grupo I,Fino Musculoso Proporcionado,Grande,55-70,25-45,,Alta,Equilibrado Tímido Muy fiel Inteligente Activo Cariñoso,Casas Senderismo Vigilancia Deporte,,Temperado,Largo Liso Fino,
